word,avg. stability,max stability,min stability
الولايات المتحده الاميركيه,0.1395780407991155,0.27870948518061206,0.020796589984843957
اميركا,0.07242720561617383,0.13309712917264663,-0.01015631750037021
اسرائيل,0.21235442347558264,0.3096082215897239,0.0013322305456681983
فلسطيني,0.18803614680370928,0.31200497132356797,-0.029212227038146733
حزب الله,0.1535185354354819,0.32105288657131903,0.013574041277274145
المقاومه,0.1333439589198089,0.32959239517878974,0.016552422076103204
سوري,0.07254402356705246,0.21551313385983678,-0.030361458580578475
منظمه التحرير الفلسطينيه,0.1106607973109009,0.2726780199365727,-0.00386115580839228
ايران,0.110021732881645,0.2902859343743517,0.0030403562922388973
السعوديه,0.09991476961532869,0.29317274816859645,0.0032497114728717927
