category,sub-category
Military occupation,Category:Occupations by occupied country
,Category:Occupations by occupying country
,Category:Allied occupation of Europe
,Category:Indonesian occupation of East Timor
,Category:Occupation of Smyrna
,Category:Territories under military occupation
,Category:World War II occupied territories
Flags of Asia,Category:Flags of Afghanistan
,Category:Flags of Bangladesh
,Category:Flags of Cambodia
,Category:Flags of China
,Category:Flags of Egypt
,Category:Flags of the Arctic
,Category:Flags of India
,Category:Flags of Indonesia
,Category:Flags of Iraq
,Category:Flags of Japan
,Category:Flags of Jordan
,Category:Flags of Kazakhstan
,Category:Flags of Korea
,Category:Flags of Kyrgyzstan
,Category:Flags of Malaysia
,Category:Flags of Myanmar
,Category:Flags of Nepal
,Category:Flags of Pakistan
,Category:Flags of Singapore
,Category:Flags of Sri Lanka
,Category:Flags of Thailand
,Category:Flags of Turkmenistan
,Category:Flags of Uzbekistan
,Category:Flags of Vietnam
Israeli Ashkenazi Jews,Category:Israeli Hasidim
Articles with unsourced statements from February 2016,
Films produced by Nicolas Cage,
Pages using flagicon template with unknown parameters,
Films set in Ukraine,Category:Films set in Ukraine by city
,Category:History of Ukraine on film
,Category:Films set in Crimea
,Category:Documentary films about Ukraine
Military history of Israel,Category:Arab–Israeli conflict
,Category:Invasions by Israel
,Category:Iran–Israel proxy conflict
,Category:Israel Defense Forces disasters
,Category:Israeli nuclear development
,Category:Israeli war crimes
,Category:Israeli–Lebanese conflict
,Category:Military history of Jerusalem
,Category:Jewish Brigade
,Category:Military monuments and memorials in Israel
,Category:Military alliances involving Israel
,Category:Military operations involving Israel
,Category:Six-Day War
Prime Ministers of Israel,Category:Menachem Begin
,Category:David Ben-Gurion
,Category:Israeli prime ministerial elections
,Category:Levi Eshkol
,Category:Naftali Bennett
,Category:Benjamin Netanyahu
,Category:Shimon Peres
,Category:Yitzhak Rabin
,Category:Ariel Sharon
Articles with unsourced statements from April 2020,
Arab nationalism in Lebanon,Category:Lebanese Arab nationalists
,Category:Lebanese National Movement
,Category:Lebanese National Resistance Front
Articles with disputed statements from April 2012,
Israeli–Lebanese conflict,Category:1982 Lebanon War
,Category:2000–2006 Shebaa Farms conflict
,Category:2006 Lebanon War
,Category:Israeli–Lebanese conflict films
,Category:Hezbollah–Israel conflict
Military units and formations established in 1957,Category:Frontier Force Regiment
Lebanon national football team,Category:Lebanon international footballers
,Category:History of the Lebanon national football team
,Category:Lebanon national football team lists
,Category:Lebanon national football team managers
,Category:Lebanon national football team matches
,Category:Lebanon national football team navigational boxes
,Category:Lebanon national football team record templates
,Category:Lebanon national football team records and statistics
,Category:Lebanon national football team results
Wikipedia articles in need of updating from August 2020,
Lebanese National Resistance Front,Category:Lebanese Communist Party
Military history of Syria,Category:Battles involving Syria
,Category:Castles in Syria
,Category:Forts in Syria
,Category:Franco-Syrian War
,Category:Great Syrian Revolt
,Category:Invasions by Syria
,Category:Invasions of Syria
,Category:Military alliances involving Syria
,Category:Military coups in Syria
,Category:Rebel groups in Syria
,Category:Six-Day War
,Category:Syrian war crimes
,Category:War crimes in Syria
,Category:Wars involving Syria
Articles with unsourced statements from April 2012,
Israeli Air Force,Category:Aerial operations and battles involving Israel
,Category:Israeli military aircraft
,Category:Israeli Air Force bases
,Category:Israeli Air Force personnel
,Category:Israeli Air Force squadrons
,Category:Israeli Air Force units
Lebanon–United States relations,Category:American expatriates in Lebanon
,Category:Lebanese expatriates in the United States
,Category:Ambassadors of Lebanon to the United States
,Category:Ambassadors of the United States to Lebanon
,Category:American people of Lebanese descent
,Category:CIA activities in Lebanon
,Category:Lebanese extrajudicial prisoners of the United States
,Category:Lebanese people of American descent
Articles with dead external links from August 2016,
Organizations designated as terrorist by Honduras,
Massacres of men,Category:Srebrenica massacre
Tracked armoured personnel carriers,
Likud leaders,
Anti-war films,Category:Anti-war comedy films
,Category:Anti-war films about World War I
,Category:Anti-war films about World War II
,Category:Anti-war films about the Iraq War
,Category:Anti-war films about the Vietnam War
2020 in Lebanon,Category:2020 events in Lebanon by month
,Category:2020 disestablishments in Lebanon
,Category:2020 Beirut explosion
,Category:COVID-19 pandemic in Lebanon
,Category:2020 in Lebanese sport
Articles needing additional references from June 2018,
1990s in Saudi Arabia,Category:1990s disestablishments in Saudi Arabia
,Category:1990s establishments in Saudi Arabia
,Category:1990 in Saudi Arabia
,Category:1991 in Saudi Arabia
,Category:1992 in Saudi Arabia
,Category:1993 in Saudi Arabia
,Category:1994 in Saudi Arabia
,Category:1995 in Saudi Arabia
,Category:1996 in Saudi Arabia
,Category:1997 in Saudi Arabia
,Category:1998 in Saudi Arabia
,Category:1999 in Saudi Arabia
,Category:1990s crimes in Saudi Arabia
,Category:1990s in Saudi Arabian sport
,Category:1990s in Saudi Arabian television
Wars involving France,Category:War in Afghanistan (2001–2021)
,Category:Albigensian Crusade
,Category:Algerian Civil War
,Category:Algerian War
,Category:American Revolutionary War
,Category:Anglo-French War (1778–1783)
,Category:Anglo-French wars
,Category:Anglo-Spanish War (1654–1660)
,Category:War of the Austrian Succession
,Category:Barbary Crusade
,Category:Basque conflict
,Category:Boxer Rebellion
,Category:Central African Republic Civil War
,Category:Chadian Civil War (2005–2010)
,Category:Chadian–Libyan conflict
,Category:War of the First Coalition
,Category:Cochinchina campaign
,Category:Crimean War
,Category:Second Crusade
,Category:Third Crusade
,Category:Fourth Crusade
,Category:Fifth Crusade
,Category:Seventh Crusade
,Category:Dano-Swedish War of 1808–09
,Category:Eighth Crusade
,Category:Fall of the Republic of Venice
,Category:First Carlist War
,Category:First Indochina War
,Category:Franco-Flemish War
,Category:Franco-Prussian War
,Category:Franco-Siamese War
,Category:Franco-Syrian War
,Category:Franco-Turkish War
,Category:French and Indian War
,Category:French conquest of Vietnam
,Category:French invasion of Russia
,Category:French involvement in the Syrian civil war
,Category:French Revolutionary Wars
,Category:Greek War of Independence
,Category:Gulf War
,Category:Haitian Revolution
,Category:Hundred Years' War
,Category:Irish Rebellion of 1798
,Category:King George's War
,Category:Korean War
,Category:Kosovo War
,Category:Madagascar expeditions
,Category:Mali War
,Category:Military operations of World War I involving France
,Category:Mokrani Revolt
,Category:Napoleonic Wars
,Category:Nine Years' War
,Category:Peninsular War
,Category:War of the Polish Succession
,Category:War of the Quadruple Alliance
,Category:Quasi-War
,Category:Rif War
,Category:Rough Wooing
,Category:Russian Civil War
,Category:Russo-Turkish War (1828–29)
,Category:Scanian War
,Category:Second French intervention in Mexico
,Category:Second Hundred Years' War
,Category:Second Italian War of Independence
,Category:Second Opium War
,Category:Seven Years' War
,Category:War of the Sicilian Vespers
,Category:Sino-French War
,Category:War of the Spanish Succession
,Category:Suez Crisis
,Category:Taiping Rebellion
,Category:Tây Sơn wars
,Category:War on Terror
,Category:The Fronde
,Category:Thirty Years' War
,Category:Turkish War of Independence
,Category:Ukrainian War of Independence
,Category:Uruguayan Civil War
,Category:War in the Vendée
,Category:Wars of Italian unification
,Category:French Wars of Religion
,Category:France in World War I
,Category:France in World War II
,Category:Yemeni Civil War (2014–present)
,Category:Yugoslav Wars
Use dmy dates from January 2019,
Hundred Days,Category:Members of the Chamber of Peers of the Hundred Days
,Category:Members of the Chamber of Representatives (France)
,Category:Waterloo campaign
2000s political drama films,Category:2000s political comedy-drama films
Wars involving Israel,Category:1948 Arab–Israeli War
,Category:2006 Lebanon War
,Category:2014 Israel–Gaza conflict
,Category:Gaza War (2008–2009)
,Category:Israeli involvement in the Syrian civil war
,Category:Israeli–Palestinian conflict
,Category:Lebanese Civil War
,Category:Six-Day War
,Category:Suez Crisis
,Category:War of Attrition
,Category:Yom Kippur War
Lebanon's role in the Syrian civil war,
2006 in mass media,Category:Mass media companies disestablished in 2006
,Category:Mass media companies established in 2006
,Category:2006 YouTube videos
,Category:2006 in animation
,Category:2006 in comics
,Category:2006 in film
,Category:2006 in radio
,Category:2006 in television
,Category:2006 in video gaming
EngvarB from May 2013,
EngvarB from July 2019,
All orphaned articles,
Lebanese Civil War,Category:1982 kidnapping of Iranian diplomats
,Category:1982 Lebanon War
,Category:Battles of the Lebanese Civil War
,Category:Factions in the Lebanese Civil War
,Category:Lebanese Civil War films
,Category:Massacres of the Lebanese Civil War
,Category:People of the Lebanese Civil War
Pro-government factions of the Syrian civil war,Category:Asa'ib Ahl al-Haq
,Category:Badr Organization
,Category:Hezbollah
,Category:Islamic Dawa Party
,Category:Islamic Revolutionary Guard Corps
,Category:Military of Syria
,Category:Popular Mobilization Forces
,Category:Quds Force
,Category:Special forces of Syria
,Category:Syrian Social Nationalist Party
Articles with NTA identifiers,
Kuwait–Lebanon relations,Category:Lebanese expatriates in Kuwait
,Category:Kuwaiti people of Lebanese descent
Articles with multiple maintenance issues,
States and territories disestablished in 2000,Category:Districts of Albania
Articles with unsourced statements from March 2016,
South Lebanon conflict (1985–2000),Category:Iron Fist policy
,Category:Operation Grapes of Wrath
Articles needing additional references from April 2014,
Eastern Mediterranean,Category:Egypt
,Category:Levant
,Category:Mashriq
,Category:Near East
,Category:Nile Delta
Use mdy dates from June 2012,
Israeli generals,Category:Chiefs of the General Staff (Israel)
,Category:Female generals of Israel
,Category:Israeli Air Force generals
,Category:Israeli Navy generals
Anti-tank missiles of the United States,
Ministers of Foreign Affairs of Israel,Category:Benjamin Netanyahu
Articles with specifically marked weasel-worded phrases from November 2009,
Commons link from Wikidata,Category:Wikipedia requested photographs in the United States
Articles with unsourced statements from January 2017,
2010s in Israel,Category:2010s disestablishments in Israel
,Category:2010s establishments in Israel
,Category:2010 in Israel
,Category:2011 in Israel
,Category:2012 in Israel
,Category:2013 in Israel
,Category:2014 in Israel
,Category:2015 in Israel
,Category:2016 in Israel
,Category:2017 in Israel
,Category:2018 in Israel
,Category:2019 in Israel
,Category:2010s crimes in Israel
,Category:2010s in Jerusalem
,Category:2010s in Israeli politics
,Category:2010s in Israeli sport
,Category:2010s in Tel Aviv
,Category:2010s in Israeli television
Articles with unsourced statements from April 2013,
