category,sub-category
,Category:1987–1989 JVP insurrection
,Category:War in Afghanistan (2001–2021)
,Category:Aroostook War
,Category:Banana Wars
,Category:Barbary Wars
,Category:Boxer Rebellion
,Category:Campaigns of American wars
,Category:American Civil War
,Category:Cold War
,Category:First Indochina War
,Category:French conquest of Vietnam
,Category:French Revolutionary Wars
,Category:Gulf War
,Category:American Indian Wars
,Category:Indochina Wars
,Category:Iraq War
,Category:Insurgency in Khyber Pakhtunkhwa
,Category:Korean War
,Category:United States in the Korean War
,Category:Kosovo War
,Category:Mexican–American War
,Category:Battles of the Mexican Revolution involving the United States
,Category:Philippine Revolution
,Category:Philippine–American War
,Category:Quasi-War
,Category:Rebellions against the United States
,Category:American Revolutionary War
,Category:Russian Civil War
,Category:Allied intervention in the Russian Civil War
,Category:First Samoan Civil War
,Category:Second Samoan Civil War
,Category:Second French intervention in Mexico
,Category:Second Opium War
,Category:Second Sino-Japanese War
,Category:Somali Civil War (2009–present)
,Category:Somalia War (2006–2009)
,Category:Spanish–American War
,Category:United States in the Spanish–American War
,Category:American involvement in the Syrian civil war
,Category:War on Terror
,Category:United States war and conflict navigational boxes
,Category:Vietnam War
,Category:United States in the Vietnam War
,Category:Wars between the United Kingdom and the United States
,Category:Wars between the United States and Native Americans
,Category:United States in World War I
,Category:United States in World War II
,Category:Yemeni Civil War (2014–present)
,Category:Yugoslav Wars
"""Related ethnic groups"" needing confirmation",
FMC Corporation,
States and territories established in 1979,Category:Panama Canal Zone
Israeli people of the 1948 Arab–Israeli War,Category:Israeli people wounded in the 1947–1949 Palestine war
Articles with unsourced statements from July 2011,
Wikipedia articles needing clarification from August 2020,
Wikipedia articles in need of updating from September 2016,
Israel–Lebanon relations,Category:Israel–Lebanon military relations
,Category:Israel–Lebanon border
,Category:Israeli people of Lebanese descent
Articles with Arabic-language sources (ar),
Sony Pictures Classics films,Category:Sony Pictures Classics animated films
Articles needing additional references from January 2021,
Organizations designated as terrorist by Argentina,
Articles with disputed statements from September 2020,
Battles involving Hezbollah,Category:2000–2006 Shebaa Farms conflict
,Category:Battles involving the Islamic State of Iraq and the Levant
,Category:Military operations of the Syrian civil war involving Hezbollah
,Category:Military operations of the War in Iraq (2013–2017) involving Hezbollah
1861 establishments in the Ottoman Empire,Category:1861 establishments in Ottoman Syria
Pages using national squad without sport or team link,
Kadima politicians,Category:Kadima leaders
Arab–Israeli conflict,Category:Israeli–Palestinian conflict
,Category:1948 Arab–Israeli War
,Category:Arab–Israeli peace process
,Category:Attacks on diplomatic missions of Israel
,Category:Israeli Military Governorate
,Category:Israeli prisoner exchanges
,Category:Jewish exodus from Arab and Muslim countries
,Category:Israeli–Lebanese conflict
,Category:Mass media about the Arab–Israeli conflict
,Category:New Historians
,Category:Palestinian Fedayeen insurgency
,Category:Six-Day War
,Category:Suez Crisis
,Category:Territorial disputes of Israel
,Category:Territorial disputes of Jordan
,Category:Villages depopulated during the Arab–Israeli conflict
,Category:War of Attrition
,Category:Yom Kippur War
Armoured fighting vehicles of the Republic of China,Category:Self-propelled artillery of the Republic of China
Articles with unsourced statements from February 2021,
Israeli–Palestinian conflict films,Category:Documentary films about the Israeli–Palestinian conflict
