Name,Ideology,Political Position,Founder(s)
Amal Movement,"Conservatism,Populism",Centre-right,"Nabih Berri,Musa al-Sadr,Hussein el-Husseini,"
Hezbollah,"Anti-Zionism,Shia Jihad,Pan-Islamism,Anti-West,Khomeinism,Unbulleted list,Antisemitism,Islamic nationalism,Anti-imperialism",-,"Sayyed Hassan Nasrallah,"
Lebanese Forces,"National conservatism,Liberal conservatism,Lebanese nationalism,Christian nationalism",Right-wing,"Samir Geagea,Bachir Gemayel,"
Palestine Liberation Organization,Palestinian nationalism,-,"Mahmoud Abbas,"
