word,avg. stability,max stability,min stability
الولايات المتحده الاميركيه,0.1656663163238754,0.30645633566047426,0.03568949946110743
اميركا,0.16391787523572232,0.29832604996774637,-0.0074355306985809345
اسرائيل,0.2675244043443334,0.3328946968556559,0.17135936900834037
فلسطيني,0.18613279750747067,0.36011528459299535,0.03985327884435299
حزب الله,0.12021373980844817,0.2886295096285344,-0.004069642625744607
المقاومه,0.10796524389125459,0.2508054753471229,-0.06546064090325365
سوري,0.08012082548046769,0.24308175291192652,-0.03251873464819713
منظمه التحرير الفلسطينيه,0.1025834140287118,0.3067964159745819,-0.03720102639339784
ايران,0.09283034976591474,0.22306448341074875,-0.03041472964983704
السعوديه,0.05905667497066624,0.1733545093486904,-0.05335830591680328
