Name,Ideology,Political Position,Founder(s)
Lebanese Forces,"Christian nationalism,Liberal conservatism,National conservatism,Lebanese nationalism",Right-wing,"Samir Geagea,Bachir Gemayel,"
Lebanese Forces,"Christian nationalism,Conservatism",-,
Palestine Liberation Organization,Palestinian nationalism,-,"Mahmoud Abbas,"
Palestine Liberation Organization,Palestinian nationalism,-,"Mahmoud Abbas,"
Syrian Social Nationalist Party,"Economic populism,officially denied),Pan-Syrianism,Page needed,ubl,Anti-communism Page needed,Social nationalism,Anti-Zionism,Antisemitism,Secularism,Syrian irredentism,officially denied) collapsible list,Syrian nationalism,August 2021","Syncretic,Left-wing collapsible list","Fares al-Saad,Antoun Saadeh,"
